41d84d80-0969-45f3-8fa9-bc00ad24c699;DisplayName;Meier, Johannes B.
41d84d80-0969-45f3-8fa9-bc00ad24c699;PreferMailFormat;0
41d84d80-0969-45f3-8fa9-bc00ad24c699;HomeCountry;Deutschland
41d84d80-0969-45f3-8fa9-bc00ad24c699;LastName;Meier
41d84d80-0969-45f3-8fa9-bc00ad24c699;PopularityIndex;0
41d84d80-0969-45f3-8fa9-bc00ad24c699;Notes;überholt?!
41d84d80-0969-45f3-8fa9-bc00ad24c699;FirstName;Johannes
41d84d80-0969-45f3-8fa9-bc00ad24c699;PrimaryEmail;jMeier@abteilung.nur-eintest.de
41d84d80-0969-45f3-8fa9-bc00ad24c699;AllowRemoteContent;0
41d84d80-0969-45f3-8fa9-bc00ad24c699;LastModifiedDate;0
70e7a4dc-b13d-479a-bc5f-ddd32610ddc9;DisplayName;Testowski, Andrzej
70e7a4dc-b13d-479a-bc5f-ddd32610ddc9;PreferMailFormat;0
70e7a4dc-b13d-479a-bc5f-ddd32610ddc9;HomeCountry;Deutschland
70e7a4dc-b13d-479a-bc5f-ddd32610ddc9;LastName;Testowski
70e7a4dc-b13d-479a-bc5f-ddd32610ddc9;PopularityIndex;0
70e7a4dc-b13d-479a-bc5f-ddd32610ddc9;Notes;"Lebensmittel-Einzelhandelskaufmann
Hat einen Goldhamster und fünf Hunde.
Mag keine Katzen.
Isst sehr gerne Erdnussflips und hat aber nie Zeit.
Ist übrigens frei erfunden.
Nur um dieses Programm zu testen.
"
70e7a4dc-b13d-479a-bc5f-ddd32610ddc9;FirstName;Andrzej
70e7a4dc-b13d-479a-bc5f-ddd32610ddc9;HomeState;Niederbayern
70e7a4dc-b13d-479a-bc5f-ddd32610ddc9;PrimaryEmail;Andrzej_NurTest@gm.nix.de
70e7a4dc-b13d-479a-bc5f-ddd32610ddc9;AllowRemoteContent;0
70e7a4dc-b13d-479a-bc5f-ddd32610ddc9;LastModifiedDate;0
70e7a4dc-b13d-479a-bc5f-ddd32610ddc9;HomeCity;Klein Kleckersdorf
70e7a4dc-b13d-479a-bc5f-ddd32610ddc9;WorkPhone;030 123 45-6
70e7a4dc-b13d-479a-bc5f-ddd32610ddc9;HomePhone;030 123 45-7
70e7a4dc-b13d-479a-bc5f-ddd32610ddc9;CellularNumber;0176 12345
3482e9ab-23c2-4a66-a960-c83ad549f188;DisplayName;Mayr, Andreas
3482e9ab-23c2-4a66-a960-c83ad549f188;PreferMailFormat;0
3482e9ab-23c2-4a66-a960-c83ad549f188;LastName;Mayr
3482e9ab-23c2-4a66-a960-c83ad549f188;PopularityIndex;0
3482e9ab-23c2-4a66-a960-c83ad549f188;FirstName;Andreas
3482e9ab-23c2-4a66-a960-c83ad549f188;PrimaryEmail;andreas.mayr@woanders.de
3482e9ab-23c2-4a66-a960-c83ad549f188;AllowRemoteContent;0
3482e9ab-23c2-4a66-a960-c83ad549f188;LastModifiedDate;0
3482e9ab-23c2-4a66-a960-c83ad549f188;Notes;"Extrainfos:
============
Heißt auch Mayr, aber mit Ypsilon.
Nur Testperson, interessiert eh keinen.
"
3482e9ab-23c2-4a66-a960-c83ad549f188;HomePhone;0800 123
36d7aa99-9dfc-4f03-be36-f3d52a78dfbd;DisplayName;FP
36d7aa99-9dfc-4f03-be36-f3d52a78dfbd;PreferMailFormat;0
36d7aa99-9dfc-4f03-be36-f3d52a78dfbd;PopularityIndex;0
36d7aa99-9dfc-4f03-be36-f3d52a78dfbd;AllowRemoteContent;0
36d7aa99-9dfc-4f03-be36-f3d52a78dfbd;LastName;FP
36d7aa99-9dfc-4f03-be36-f3d52a78dfbd;PrimaryEmail;fp-org@gast.abteilung.nur-eintest.de
